HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Tweet,Answer.Tweet,Answer.Extreme,Input.QC_liberal,Input.QC_conservative,Input.QC_neither,Answer.QC_liberal,Answer.Q_conservative,Answer.QC_neither
5446239,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2021,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2021,,,7e5692c3-8955-4d9b-bce3-b18c27276270,4a59a3bf-bcb5-4bcc-94cb-2d69fe5b2766,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2021,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
5541756,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2022,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2022,,,b8dd54b1-2ccf-4ebd-801b-04e8cb9d3b73,bd9c69fe-8b23-4287-8f01-7067ab18883e,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2022,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
4284443,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2023,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2023,,,5d348f5d-2485-4f61-abc9-223c25328a6d,8dbab481-23bc-4ca1-b07f-ea9da9668d2b,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2023,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
3295865,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2024,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2024,,,cf80981b-68b1-4856-b8b4-febe184732d1,14053592-22a0-48b6-a0a1-667e4963ab7b,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2024,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
7401433,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2025,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2025,,,9cfd4574-5134-4518-b082-7a9cec9ef5eb,111352c1-c943-4966-9f4c-cddf42bae268,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2025,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
2493081,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2026,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2026,,,70cef7ba-e5f6-4fdb-a495-c73831db4650,db30f790-ee8e-4523-ad1e-0a3b782c6203,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2026,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
7644757,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2027,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2027,,,84893e2d-12b6-4216-a46e-88ae67c64d49,49e3e31d-f4f4-4edf-ac72-deab2e93e35f,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2027,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
4744553,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2028,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2028,,,d5ab0495-c535-4b85-81b1-1d9ea40d0290,1d2164f4-cfc7-45a7-b9a4-ec6144018527,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2028,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Liberal,Conservative
4810179,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2029,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2029,,,cecb8387-0ec7-47ce-8d37-97eff09e7be0,e2eefbc0-05cb-4807-8c0d-1a46a464db11,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2029,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
1004442,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2030,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2030,,,575670bf-5dcd-4465-9fac-79fd317ef015,28aedb63-90f9-4081-b3d5-526d65a2ff52,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2030,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
664920,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2031,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2031,,,e5d503a3-0cc7-4b40-8f41-da1f2c703ade,5c93f133-156f-4e51-9e70-300fa28df1ba,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2031,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Conservative,Conservative,Neither
6294838,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2032,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2032,,,e1086e00-559f-426d-81a1-b9d843426645,e0a6b76e-be5a-4186-9c64-3690fbf598a7,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2032,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Conservative,Conservative,Neither
9102689,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2033,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2033,,,c0d25c61-8646-4cf3-b396-71e82a63a176,6fc08902-c136-42e0-bbe4-6a27212266a2,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2033,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
342205,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05 ,Wed Apr 07 14:30:53 PDT 2034,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2034,,,cca1b1b6-8887-442f-b98d-93d4891a4f2d,ec6e9ce2-4ec6-467c-9588-080103f4972e,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2034,,,,420,0% (0/0),0% (0/0),0% (0/0),,,,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
